id	1	2	3
AFG	23	34	39.8
ALB	69.1	72.1	73.9
DZA	62.4	66.7	69.8
AGO	38.4	44.5	48.6
ARG	74.9	76.5	79.7
ARM	64.3	68.9	71.6
AUS	90.6	91.8	92.9
AUT	83.9	86	88.5
BHS	75.2	76.6	77.1
163	77.3	79.5	80.6
BGD	42.2	46.2	50
BEL	87.6	87.3	88.6
BLZ	66.8	68.9	69.9
BEN	37.8	40.9	42.7
BOL	61.2	64.9	66.3
BWA	58.5	60.1	63.3
BRA	66.5	69.2	71.8
BRN	81.8	83	83.8
BGR	71.5	74.9	77.1
BDI	24.5	26.7	31.6
KHM	43.8	49.1	52.3
CMR	42.7	44.9	48.2
CAN	87.9	89.2	90.8
169	52.3	54.3	56.8
CAF	30.6	31.1	34.3
TCD	28.6	31.2	32.8
CHL	74.9	77.9	80.5
CHN	58.8	63.3	68.7
COL	65.2	67.5	71
COD	22.4	26	28.6
COG	47.8	50.6	53.3
CRI	70.3	72.3	74.4
CIV	37.4	38.3	40
HRV	74.8	78	79.6
CUB	68.1	72.5	77.6
CYP	80	80.9	84
CZE	81.6	85.4	86.5
DNK	86.1	88.5	89.5
DJI	0	40.2	43
DOM	69.9	70.9	72.4
ECU	66.8	69.5	72
EGY	58.5	61.1	64.4
SLV	61.9	65.2	67.4
GNQ	48.8	51.6	53.7
EST	77.6	82.1	83.5
ETH	27.4	31.3	36.3
FJI	66.8	67.8	68.8
FIN	83.7	87.5	88.2
FRA	84.6	86.9	88.4
GAB	62.1	64.8	67.4
GMB	36	38.4	42
GEO	0	70.7	73.3
DEU	86.4	89.5	90.5
GHA	45.1	48.4	54.1
GRC	80.2	85.6	86.1
GTM	52.5	55	57.4
GUY	57.9	60.6	63.3
HTI	42.1	42.9	45.4
235	0	0	0
HND	56.9	59.7	62.5
HKG	82.4	85	89.8
HUN	77.5	80.3	81.6
ISL	86.3	89.3	89.8
IND	46.1	50.4	54.7
IDN	54.3	57.2	61.7
IRN	63.6	67.1	70.7
IRQ	0	55.2	57.3
IRL	86.9	89.8	90.8
ISR	85.6	87.4	88.8
ITA	82.5	86.1	87.4
JAM	68	70.2	72.7
JPN	86.8	88.6	90.1
JOR	64.6	67.3	69.8
KGZ	65.7	71.4	74.5
KEN	44.3	46.7	50.9
KWT	75.4	75.2	76
KGZ	57.7	59.5	61.5
LAO	44.8	48.4	52.4
LVA	73.2	78.4	80.5
LSO	42.7	41.7	45
LBR	30.6	30	32.9
LTU	74.9	79.3	81
LUX	85.4	86.5	86.7
MDG	42.7	46.5	48
MWI	34.3	35.1	40
MYS	70.5	73.8	76.1
MEX	71.8	74.1	77
MDA	58.6	63.1	64.9
MNG	55.5	61.1	65.3
MAR	50.7	55.2	58.2
MOZ	24.5	28.5	32.2
MMR	38	43.6	48.3
NAM	57.7	59.3	62.5
NPL	39.8	42.4	45.8
183	88.2	89	91
NZL	87.8	89.9	90.8
NIC	53.3	56.6	58.9
NER	22.9	26.5	29.5
NOR	91.3	93.8	94.3
PAK	43.6	48	50.4
PER	67.4	69.1	72.5
PHL	60.2	62.2	64.4
POL	77	79.1	81.3
PRT	77.8	78.9	80.9
QAT	78.4	81.8	83.1
ROU	70.4	74.8	78.1
RUS	69.1	72.5	75.5
RWA	31.3	37.6	42.9
185	65.7	67.6	68.8
SAU	72.6	74.6	77
SEN	39.9	43.2	45.9
SRB	71.9	74.4	76.6
196	76.4	76.6	77.3
SLE	25.2	30.6	33.6
SGP	80.1	83.5	86.6
SVK	77.9	81	83.4
SVN	80.5	84.8	88.4
SLB	47.9	50.2	51
ZAF	61.6	59.9	61.9
ESP	83.9	85.7	87.8
LKA	63.3	66.2	69.1
SDN	35.7	38.3	40.8
SWZ	49.2	49.3	52.2
SWE	89.4	89.6	90.4
CHE	87.3	89	90.3
SYR	58.3	62.1	63.2
TJK	52.7	57.5	60.7
TZA	36.4	42	46.6
THA	62.6	65.6	68.2
TLS	40.4	44.8	49.5
TGO	40.8	41.9	43.5
188	68.1	69.6	70.4
TTO	70.1	72.8	76
TUN	63	66.7	69.8
TUR	63.4	67.1	69.9
UGA	37.2	40.1	44.6
UKR	66.9	71.2	72.9
ARE	75.3	80.7	84.6
GBR	83.3	85.5	86.3
USA	89.7	90.2	91
URY	73.6	74.8	78.3
VEN	65.6	69.2	73.5
VNM	52.8	56.1	59.3
YEM	37.4	42.2	46.2
ZMB	37.1	39.4	43
ZWE	37.2	34.7	37.6